Feature,AUC,Brier Score,Accuracy,Log Loss,F1 Score,Precision,Recall,AUPR,Sample Size
Hybrid_Catboost,0.741997467138303,0.08404126882585886,0.577,0.2937210280440546,0.2668977469670711,0.16210526315789472,0.7549019607843137,0.28372635040426786,4523
Blood_Type_A,0.6182432432432432,0.07389592501543499,0.531055900621118,0.279168165718521,0.1925133689839572,0.11180124223602485,0.6923076923076923,0.1446203488506175,322
Blood_Type_AB,0.7647058823529411,0.03148714825939382,0.6,0.14663818302362797,0.125,0.06666666666666667,1,0.1111111111111111,35
Blood_Type_B,0.7603305785123967,0.08062061443386861,0.5970149253731343,0.28087256672421246,0.22857142857142856,0.14035087719298245,0.6153846153846154,0.3072125837022172,134
Blood_Type_O,0.6515261102271083,0.10354411439160628,0.5649606299212598,0.360254022244399,0.2706270627062706,0.17012448132780084,0.6612903225806451,0.24783926979734788,508
CHD_NoSurgery,0.9444444444444444,0.09152532298354549,0.6666666666666666,0.28443780544466285,0.42857142857142855,0.2727272727272727,1,0.6072751322751323,48
CHD_Surgery,0.6553664921465969,0.11440599307350809,0.5678733031674208,0.3907942954096635,0.2952029520295203,0.1895734597156398,0.6666666666666666,0.2511207153456366,442
DCM,0.5997586484312148,0.058363763734277756,0.5318559556786704,0.23486923991515588,0.12435233160621761,0.07017543859649122,0.5454545454545454,0.1758976917044743,361
Dialysis,0.4285714285714286,0.31969245819257436,0.45454545454545453,1.0937939185510994,0.25,0.25,0.25,0.5179924242424243,11
ECMO_Reg,0.761969904240766,0.20297275897894132,0.5333333333333333,0.6030770846358169,0.5172413793103449,0.36585365853658536,0.8823529411764706,0.5799533086892046,60
Inotrop,0.6306775874906925,0.09919690391808464,0.5269058295964125,0.34866868146915003,0.23272727272727273,0.14285714285714285,0.6274509803921569,0.20742004937724595,446
Myocard,0.838095238095238,0.10819964496562778,0.6097560975609756,0.34493240597238317,0.42857142857142855,0.2727272727272727,1,0.5904431216931216,41
Race_Asian,0.48,0.10646729550583191,0.4666666666666667,0.38331988693229585,0.14285714285714285,0.08695652173913043,0.4,0.13932861432861432,45
Race_Black,0.6210526315789474,0.09622726034983198,0.5211267605633803,0.3385359321824264,0.23880597014925373,0.14414414414414414,0.6956521739130435,0.18180968837085304,213
Race_Hispanic,0.6517783291976842,0.10525065276846512,0.6037735849056604,0.36688925441904036,0.288135593220339,0.18478260869565216,0.6538461538461539,0.2424367477819946,212
Race_Other,0.8076923076923077,0.06273957857622864,0.5714285714285714,0.22309743459161993,0.25,0.14285714285714285,1,0.2361111111111111,28
Race_White,0.6872431915910177,0.07773019790378756,0.564870259481038,0.2840033022678201,0.22142857142857142,0.13247863247863248,0.6739130434782609,0.27590309420702136,501
VAD,0.6415989159891599,0.08055565383618063,0.5555555555555556,0.2922816413716047,0.1891891891891892,0.11290322580645161,0.5833333333333334,0.15947320766951534,135
Ventilator,0.7067932067932069,0.15841962529744918,0.5751295336787565,0.5067798671022419,0.3880597014925373,0.2736842105263158,0.6666666666666666,0.4248364744801621,193
